policy,subject_hash,fold,step,action,true_class,modal_class,posterior_entropy,info_gain_step,info_gain_cumulative,decision_argmax,decision_correct,alpha_neg,alpha_neu,alpha_pos
random,4fc82b26aecb47d2,0,5,D_only,2,2,1.0361718661407648,0.017420239042952534,0.06244042252734494,1,0,3.0383609698494047,3.5338583259562224,1.427780704194372
random,4fc82b26aecb47d2,0,6,E_only,2,2,1.0227464674713094,0.013425398669455468,0.07586582119680041,0,0,3.946424709736813,3.597321613027427,1.456253677235759
random,4fc82b26aecb47d2,0,7,E_only,2,2,1.0018898510194802,0.020856616451829124,0.09672243764862953,0,0,4.854488449624221,3.6607849000986317,1.4847266502771461
random,4fc82b26aecb47d2,0,8,D_only,0,2,1.0262017096833076,-0.024311858663827346,0.07241057898480219,0,0,5.321647389744763,3.7022312612846706,1.9761213489705658
random,4fc82b26aecb47d2,0,9,E_only,2,2,1.0029623297484294,0.023239379934878235,0.09564995891968042,0,0,6.229711129632172,3.7656945483558752,2.004594322011953
random,4fc82b26aecb47d2,0,10,E_only,1,2,1.004918330547532,-0.0019560007991026307,0.09369395812057779,0,0,6.395084271254416,4.599581676035357,2.005334052710227
greedy_eig,4fc82b26aecb47d2,0,1,D_only,2,2,1.0418380357263062,0.05677425294180338,0.056774252941803605,1,0,1.0023959587916094,1.9876512596704243,1.0099527815379663
greedy_eig,4fc82b26aecb47d2,0,2,EDT_full,0,2,1.053003236864265,-0.011165201137958825,0.04560905180384478,1,0,1.7949932715750516,2.1903079407598134,1.0146987876651348
greedy_eig,4fc82b26aecb47d2,0,3,D_only,1,2,1.0958734780466308,-0.04287024118236582,0.00273881062147896,1,0,1.842992534515793,2.199608754137893,1.9573987113463138
greedy_eig,4fc82b26aecb47d2,0,4,D_only,1,2,1.082599148667235,0.013274329379395766,0.016013140000874726,2,1,1.8909917974565342,2.2089095675159727,2.9000986350274927
greedy_eig,4fc82b26aecb47d2,0,5,D_only,2,2,1.0754722467489823,0.007126901918252715,0.02314004191912744,1,0,1.8933877562481436,3.196560827186397,2.9100514165654587
greedy_eig,4fc82b26aecb47d2,0,6,E_only,2,2,1.0965777313891742,-0.021105484640191907,0.0020345572789355337,1,0,2.801451496135552,3.2600241142576016,2.938524389606846
greedy_eig,4fc82b26aecb47d2,0,7,D_only,2,2,1.0803231496083512,0.016254581780823063,0.018289139059758597,1,0,2.803847454927161,4.247675373928026,2.948477171144812
greedy_eig,4fc82b26aecb47d2,0,8,EDT_full,0,2,1.084664144469154,-0.00434099486080286,0.013948144198955736,1,0,3.5964447677106035,4.450332055017416,2.9532231772719806
greedy_eig,4fc82b26aecb47d2,0,9,E_only,2,2,1.081570454481098,0.0030936899880560365,0.017041834187011773,1,0,4.504508507598012,4.5137953420886205,2.981696150313368
greedy_eig,4fc82b26aecb47d2,0,10,D_only,1,2,1.0963445698192835,-0.014774115338185512,0.002267718848826261,0,0,4.552507770538753,4.523096155466701,3.9243960739945467
E_only,b17ef6d19c7a5b1e,0,1,E_only,0,0,1.041473123120805,0.05713916554730458,0.057139165547304804,2,0,1.0022346424967568,1.0079646175131753,1.989800739990068
E_only,b17ef6d19c7a5b1e,0,2,E_only,0,0,0.9547114157873904,0.0867617073334146,0.1439008728807194,2,0,1.0044692849935135,1.0159292350263507,2.979601479980136
E_only,b17ef6d19c7a5b1e,0,3,E_only,0,0,0.8745623234432724,0.08014909234411793,0.22404996522483733,2,0,1.0067039274902703,1.023893852539526,3.9694022199702035
E_only,b17ef6d19c7a5b1e,0,4,E_only,0,0,0.8055904118802888,0.06897191156298366,0.293021876787821,2,0,1.008938569987027,1.0318584700527014,4.959202959960272
E_only,b17ef6d19c7a5b1e,0,5,E_only,0,0,0.7469108098960815,0.0586796019842073,0.3517014787720283,2,0,1.0111732124837838,1.0398230875658767,5.94900369995034
E_only,b17ef6d19c7a5b1e,0,6,E_only,1,0,0.7694441530150135,-0.02253334311893196,0.3291681356530963,2,0,1.1878083103948454,1.2373526908258068,6.574838998779348
