subject_hash,condition,y,kappa,kappa_null_mean,p_value,reject_at_0p05
e3d6c4d4599e0088,Pleasant,2,0.20908670834494703,0.15986901096263673,0.21495700859828035,False
ad48ff99415b2f00,Negative,0,0.4114774461223303,0.16593412303767507,0.0003999200159968006,True
ad48ff99415b2f00,Neutral,1,0.3838663223745129,0.16410659211559928,0.001799640071985603,True
ad48ff99415b2f00,Pleasant,2,0.13597802343845872,0.15975981929464805,0.5792841431713657,False
7b1a278f5abe8e9d,Negative,0,0.29890389092738384,0.16211687509964268,0.041991601679664065,True
7b1a278f5abe8e9d,Neutral,1,0.07269597004991542,0.15824023041371973,0.9384123175364927,False
7b1a278f5abe8e9d,Pleasant,2,0.23439371424805747,0.1658847278491541,0.11277744451109778,False
29db0c6782dbd500,Negative,0,0.5471387163572887,0.1588978525087966,0.0001999600079984003,True
29db0c6782dbd500,Neutral,1,0.40043533007205195,0.15964522091804467,0.005598880223955209,True
29db0c6782dbd500,Pleasant,2,0.5559335771960019,0.15792794492617795,0.0001999600079984003,True
37834f2f25762f23,Negative,0,0.2113784219427924,0.15968782113237376,0.20935812837432513,False
37834f2f25762f23,Neutral,1,0.18220331240106288,0.1610327572263656,0.3165366926614677,False
37834f2f25762f23,Pleasant,2,0.2542938818369059,0.16503491742186244,0.0691861627674465,False
5ef6fdf32513aa7c,Negative,0,0.2818878089965842,0.15888638972962554,0.06678664267146571,False
5ef6fdf32513aa7c,Neutral,1,0.2029685070559565,0.1622482814612395,0.22595480903819237,False
5ef6fdf32513aa7c,Pleasant,2,0.49666018057536754,0.16075200781171325,0.0001999600079984003,True
1253e9373e781b75,Negative,0,0.14407667238517816,0.16317757533360583,0.5646870625874825,False
1253e9373e781b75,Neutral,1,0.1258823599616057,0.1616902878104127,0.671865626874625,False
1253e9373e781b75,Pleasant,2,0.3881939573623693,0.16010547920122248,0.004799040191961607,True
3346f2bbf6c34bd2,Negative,0,0.3417339161537343,0.16217541188743068,0.01279744051189762,True
3346f2bbf6c34bd2,Neutral,1,0.20177879509596494,0.1637230684130063,0.23815236952609478,False
3346f2bbf6c34bd2,Pleasant,2,0.14511793668173678,0.1604777187418143,0.518496300739852,False
9537f32ec7599e1a,Negative,0,0.13973074778928019,0.16517951290625946,0.6256748650269947,False
9537f32ec7599e1a,Neutral,1,0.2000751544982392,0.1633145670493807,0.2401519696060788,False
9537f32ec7599e1a,Pleasant,2,0.23665847557705622,0.16045312548221477,0.132373525294941,False
