seed,fold,balanced_accuracy,macro_f1,roc_auc,n_test,config,config_name,feature_dim
44,1,0.5238095238095238,0.5245166713365088,0.6593915343915344,126,A9,E + D + T + C,2485
44,2,0.5158730158730159,0.5188548693997578,0.6698790627362056,126,A9,E + D + T + C,2485
44,3,0.4603174603174603,0.4621212121212121,0.6659108087679516,126,A9,E + D + T + C,2485
44,4,0.5079365079365079,0.5056610056610057,0.6813114134542705,126,A9,E + D + T + C,2485
45,0,0.4728682170542635,0.4724253715633026,0.6624301424193257,129,A9,E + D + T + C,2485
45,1,0.5,0.498328446907429,0.6695956160241874,126,A9,E + D + T + C,2485
45,2,0.4365079365079365,0.43292181069958846,0.5856953892668177,126,A9,E + D + T + C,2485
45,3,0.5079365079365079,0.5034734443391544,0.6824452003023431,126,A9,E + D + T + C,2485
45,4,0.48412698412698413,0.4844173441734417,0.6564625850340136,126,A9,E + D + T + C,2485
46,0,0.4883720930232558,0.4837194169427435,0.695871642329187,129,A9,E + D + T + C,2485
46,1,0.41269841269841273,0.40202749140893473,0.6060090702947846,126,A9,E + D + T + C,2485
46,2,0.4682539682539683,0.4655997728286885,0.67072940287226,126,A9,E + D + T + C,2485
46,3,0.4682539682539682,0.46744738055864915,0.643896447467876,126,A9,E + D + T + C,2485
46,4,0.4285714285714286,0.42706045966915535,0.6398337112622826,126,A9,E + D + T + C,2485
42,0,0.3415634752844055,0.34058324802477885,0.4784313237660094,129,CTRL_shuffled_label,CTRL_shuffled_label,2482
42,1,0.30952380952380953,0.3020207283886283,0.4994331065759637,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
42,2,0.2773411122815547,0.27233877233877235,0.47799193691057695,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
42,3,0.42063492063492064,0.419753086419753,0.5388321995464853,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
42,4,0.3245550063474057,0.3233555062823356,0.5061688832634138,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
43,0,0.25396825396825395,0.2516881023494592,0.47222222222222227,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
43,1,0.2943219571126548,0.2943219571126548,0.47186731307949187,129,CTRL_shuffled_label,CTRL_shuffled_label,2482
43,2,0.42063492063492064,0.41782857012703783,0.5570672713529856,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
43,3,0.30158730158730157,0.3014825442372071,0.4520030234315949,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
43,4,0.34952597034275995,0.34914447706793555,0.4877064571186158,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
44,0,0.2952112486996208,0.29387617907186825,0.43703875626218386,129,CTRL_shuffled_label,CTRL_shuffled_label,2482
44,1,0.3412698412698412,0.3429657361346166,0.5214474678760394,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
44,2,0.3725972143442364,0.3722341004049841,0.5312103574133203,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
44,3,0.3413868856296536,0.3404386871819822,0.5049701333363004,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
44,4,0.373015873015873,0.3713624338624339,0.48034769463340893,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
45,0,0.3336353568911708,0.33531124732992157,0.4980637906091827,129,CTRL_shuffled_label,CTRL_shuffled_label,2482
45,1,0.373015873015873,0.3724666106285608,0.5239984882842026,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
45,2,0.3333333333333333,0.3310090177560057,0.5216364323507181,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
45,3,0.2788356787222357,0.2761225702402173,0.44943296396344445,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
45,4,0.36448513986800996,0.3590658654803034,0.4900882895967172,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
46,0,0.3412698412698412,0.34022366522366526,0.5263605442176872,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
46,1,0.31746031746031744,0.31764266367796773,0.5002834467120182,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
46,2,0.34985234403839055,0.3457076762371171,0.4837096323617737,129,CTRL_shuffled_label,CTRL_shuffled_label,2482
46,3,0.3253968253968254,0.32096203538064005,0.46702569916855624,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
46,4,0.34082417236132495,0.3406593406593406,0.4974917137971114,126,CTRL_shuffled_label,CTRL_shuffled_label,2482
42,0,0.4769152508800836,0.472383101757439,0.6419700001225036,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
42,1,0.4820883251115809,0.4716930757403226,0.6294429383158339,129,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
42,2,0.46046151491415244,0.45805724588686053,0.6405253533581887,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
42,3,0.4523809523809524,0.4497811216737555,0.6264172335600907,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
42,4,0.5236474623882451,0.521933621933622,0.6504552547198319,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
43,0,0.4739169099634215,0.46844455679137176,0.6524862804405938,129,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
43,1,0.3890059332487013,0.3888815451274142,0.5878193955459509,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
43,2,0.5079365079365079,0.5029408575920203,0.6867913832199545,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
43,3,0.4126984126984126,0.41052362707535117,0.6007180650037792,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
43,4,0.4682539682539682,0.4661084529505582,0.6765873015873017,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
44,0,0.4761904761904762,0.47646082686584385,0.64786470143613,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
44,1,0.5158730158730158,0.5098266552998011,0.6601473922902494,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
44,2,0.4640424175307896,0.4615384615384615,0.6466337435486376,129,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
44,3,0.4847032025137527,0.4856473879462386,0.6270483024203157,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
44,4,0.4365079365079365,0.43347173499189356,0.6597694633408918,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
45,0,0.5,0.49189699189699193,0.6320861678004536,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
45,1,0.5,0.49734844357269986,0.6654383975812547,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
45,2,0.5354206516997215,0.5358218869730292,0.6770400264567388,129,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
45,3,0.4493603075565639,0.43735407296003864,0.6065064784768573,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
45,4,0.5088998730518867,0.5059007711215707,0.6642143803452202,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
46,0,0.5079365079365079,0.5037877499177809,0.6536281179138322,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
46,1,0.4603174603174603,0.45715915702189913,0.6469198790627362,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
46,2,0.4746468002281956,0.472862418823849,0.6532298040660655,129,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
46,3,0.4523809523809524,0.4500011342498072,0.6137566137566138,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
46,4,0.442918366060737,0.44287336049788156,0.6177628894500757,126,CTRL_shuffled_subject,CTRL_shuffled_subject,2482
