router,seed,fold,ptype,level,balanced_accuracy,macro_f1
fixed_A7,42,1,channel_dropout,0.2,0.4761904761904762,0.43222523152192904
fixed_A8,42,1,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
fixed_A9,42,1,channel_dropout,0.2,0.3333333333333333,0.16666666666666666
oracle,42,1,channel_dropout,0.2,0.9126984126984127,0.9088228755151949
perturbation_label,42,1,channel_dropout,0.2,0.4444444444444444,0.4386724386724386
fixed_A0,42,1,channel_dropout,0.3,0.45238095238095233,0.37145493269869195
fixed_A1,42,1,channel_dropout,0.3,0.4682539682539682,0.4656204906204906
fixed_A2,42,1,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A3,42,1,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A5,42,1,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A6,42,1,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A7,42,1,channel_dropout,0.3,0.4761904761904762,0.46629082012551853
fixed_A8,42,1,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
fixed_A9,42,1,channel_dropout,0.3,0.3333333333333333,0.16666666666666666
oracle,42,1,channel_dropout,0.3,1.0,1.0
perturbation_label,42,1,channel_dropout,0.3,0.4682539682539682,0.4656204906204906
fixed_A0,42,1,graph_perturbation,0.1,0.4841269841269842,0.479605039155601
fixed_A1,42,1,graph_perturbation,0.1,0.4761904761904761,0.47826086956521735
fixed_A2,42,1,graph_perturbation,0.1,0.4603174603174603,0.4583694083694083
fixed_A3,42,1,graph_perturbation,0.1,0.3333333333333333,0.16666666666666666
fixed_A5,42,1,graph_perturbation,0.1,0.35714285714285715,0.2425281724644782
fixed_A6,42,1,graph_perturbation,0.1,0.5,0.4985083750931913
fixed_A7,42,1,graph_perturbation,0.1,0.5,0.5010043311413175
fixed_A8,42,1,graph_perturbation,0.1,0.4365079365079365,0.43564993564993565
fixed_A9,42,1,graph_perturbation,0.1,0.4365079365079365,0.4360779586096042
oracle,42,1,graph_perturbation,0.1,0.8968253968253967,0.8954088118847844
perturbation_label,42,1,graph_perturbation,0.1,0.4841269841269842,0.479605039155601
fixed_A0,42,1,graph_perturbation,0.2,0.4841269841269842,0.479605039155601
fixed_A1,42,1,graph_perturbation,0.2,0.4761904761904761,0.47826086956521735
fixed_A2,42,1,graph_perturbation,0.2,0.4603174603174603,0.4583694083694083
fixed_A3,42,1,graph_perturbation,0.2,0.3412698412698412,0.2064477965099083
fixed_A5,42,1,graph_perturbation,0.2,0.35714285714285715,0.23438155136268346
fixed_A6,42,1,graph_perturbation,0.2,0.5,0.4985083750931913
fixed_A7,42,1,graph_perturbation,0.2,0.4920634920634921,0.4942594543964407
fixed_A8,42,1,graph_perturbation,0.2,0.4523809523809524,0.45200617283950617
fixed_A9,42,1,graph_perturbation,0.2,0.4523809523809524,0.4524122807017544
oracle,42,1,graph_perturbation,0.2,0.8968253968253967,0.8954088118847844
perturbation_label,42,1,graph_perturbation,0.2,0.4841269841269842,0.479605039155601
fixed_A0,42,1,graph_perturbation,0.3,0.4841269841269842,0.479605039155601
fixed_A1,42,1,graph_perturbation,0.3,0.4761904761904761,0.47826086956521735
fixed_A2,42,1,graph_perturbation,0.3,0.4603174603174603,0.4583694083694083
fixed_A3,42,1,graph_perturbation,0.3,0.34920634920634924,0.19971721456344996
fixed_A5,42,1,graph_perturbation,0.3,0.35714285714285715,0.23438155136268346
fixed_A6,42,1,graph_perturbation,0.3,0.5,0.4985083750931913
fixed_A7,42,1,graph_perturbation,0.3,0.4682539682539682,0.4703172071593124
fixed_A8,42,1,graph_perturbation,0.3,0.4682539682539682,0.4685342675886411
fixed_A9,42,1,graph_perturbation,0.3,0.4682539682539682,0.4692353155119113
oracle,42,1,graph_perturbation,0.3,0.8968253968253967,0.8954088118847844
perturbation_label,42,1,graph_perturbation,0.3,0.4841269841269842,0.479605039155601
fixed_A0,42,2,clean,clean,0.4603174603174603,0.45430494585894055
fixed_A1,42,2,clean,clean,0.4920634920634921,0.4883894671128714
fixed_A2,42,2,clean,clean,0.42063492063492064,0.42254310854402055
fixed_A3,42,2,clean,clean,0.3333333333333333,0.3328663491173998
fixed_A5,42,2,clean,clean,0.3968253968253968,0.39399224806201555
fixed_A6,42,2,clean,clean,0.5079365079365079,0.5028985507246376
fixed_A7,42,2,clean,clean,0.4603174603174603,0.4524572649572649
fixed_A8,42,2,clean,clean,0.4682539682539682,0.4617973322444535
fixed_A9,42,2,clean,clean,0.4761904761904761,0.47065217391304354
oracle,42,2,clean,clean,0.888888888888889,0.8891734880106973
perturbation_label,42,2,clean,clean,0.4603174603174603,0.45430494585894055
fixed_A0,42,2,amplitude_noise,20,0.4603174603174603,0.45399180511540066
